    6   18                                                                      
       -4.0608335657        0.0000000000        0.0000000000                    
        4.0608335657        0.0000000000        0.0000000000                    
       -1.1385570685       -0.7162842078        0.0000000000                    
        1.1385570685       -0.7162842078        0.0000000000                    
       -1.1385570685        0.7162842078        0.0000000000                    
        1.1385570685        0.7162842078        0.0000000000                    
        0.0000000000        0.3014207042        0.0000000000                    
        0.0000000000       -0.3014207042        0.0000000000                    
       -0.6062917718       -1.0174527060        0.0000000000                    
       -0.6062917718        1.0174527060        0.0000000000                    
        0.6062917718       -1.0174527060        0.0000000000                    
        0.6062917718        1.0174527060        0.0000000000                    
        1.0402222080        0.0000000000        0.0000000000                    
       -1.0402222080        0.0000000000        0.0000000000                    
       -0.5869614097       -1.6057747189        0.0000000000                    
        0.5869614097       -1.6057747189        0.0000000000                    
       -0.5869614097        1.6057747189        0.0000000000                    
        0.5869614097        1.6057747189        0.0000000000                    
        0.0000000000        0.0000000000       -2.9606297912                    
        0.0000000000        0.0000000000        2.9606297912                    
        0.0000000000        0.0000000000        0.0445698245                    
        0.0000000000        0.0000000000       -0.0445698245                    
        0.0000000000        0.0000000000        0.0445698245                    
        0.0000000000        0.0000000000       -0.0445698245                    
        0.0000000000        0.0000000000        0.0000000000                    
        0.0000000000        0.0000000000        0.0000000000                    
        0.0000000000        0.0000000000       -0.3633016005                    
        0.0000000000        0.0000000000       -0.3633016005                    
        0.0000000000        0.0000000000        0.3633016005                    
        0.0000000000        0.0000000000        0.3633016005                    
       -0.2573985244        0.0000000000        0.0000000000                    
        0.2573985244        0.0000000000        0.0000000000                    
        0.0256893068       -0.0781420523        0.0000000000                    
       -0.0256893068       -0.0781420523        0.0000000000                    
        0.0256893068        0.0781420523        0.0000000000                    
       -0.0256893068        0.0781420523        0.0000000000                    
